[FABRIC:MT] Fabric Engine version 2.0.0
[FABRIC:MT] Loading DFG presets from e:\pablo\stage\Windows\x86_64\Release\Presets\DFG
[FABRIC:MT] Loading DFG presets from c:\Users\helge\Fabric\Presets
[FABRIC:MT] Loading DFG presets from e:\exts\Midi\stage\Presets\DFG
[FABRIC:MT] Loading DFG presets from e:\exts\RazerHydra\stage\Presets\DFG
[FABRIC:MT] Loading DFG presets from e:\exts\Xbox\stage\Presets\DFG
[FABRIC:MT] Loading DFG presets from e:\exts\LeapMotion\stage\Presets\DFG
[FABRIC:MT] Loading DFG presets from e:\exts\Oculus\stage\Presets\DFG
[FABRIC:MT] Registered extensions {Alembic:1.0.0,AlembicWrapper:1.2.0,Animation:1.1.0,Bullet:1.0.1,BulletHelpers:1.0.0,Characters:1.1.0,Containers:1.1.0,DFGHelpers,FabricInterfaces:1.0.1,FabricSynchronization:1.1.0,Fbx:1.1.0,FbxHelpers:1.0.2,FileIO:1.2.0,Geometry:1.2.0,Images:1.0.2,InlineDrawing:1.2.0,JSON:1.0.0,Manipulation:1.1.0,Math:1.2.0,FabricOBJ:1.1.0,FabricOGL:1.0.0,OpenImageIO:1.0.2,OSOGL:1.1.0,Parameters:1.0.0,Singletons:1.1.0,FabricStatistics:1.1.0,Util:1.1.0,ImageProcessing,RTR,RTRAdaptors} in directory: e:\pablo\stage\Windows\x86_64\Release\Exts
[FABRIC:MT] Registered extensions {BadCode:2.0.0,BadInline:2.0.0,BadPrototype:2.0.0,BadVersion:2.0.0,CircularA:2.0.0,CircularB:2.0.0,FwdDeclare:2.0.0,FwdDeclNoDef:2.0.0,SetupCallback:2.0.0,UnitTest:2.0.0,VersionTest:1.0.0,VersionTest:1.1.1,VersionTest:1.2.1} in directory: e:\pablo\stage\Windows\x86_64\Release\Tests\Core\Exts
[FABRIC:MT] Ignored extension directory 'e:\pablo\stage\Windows\x86_64\Release\Tests\Exts': unable to open directory 'e:\pablo\stage\Windows\x86_64\Release\Tests\Exts': The system cannot find the path specified. (code 3 [0x3])
[FABRIC:MT] Registered extension {Midi:1.0.0} in directory: e:\exts\Midi\stage\Exts
[FABRIC:MT] Registered extension {RazerHydra:1.0.0} in directory: e:\exts\RazerHydra\stage\Exts
[FABRIC:MT] Registered extension {XBox:1.0.0} in directory: e:\exts\Xbox\stage\Exts
[FABRIC:MT] Registered extension {LeapMotion:1.0.0} in directory: e:\exts\LeapMotion\stage\Exts
[FABRIC:MT] Registered extension {Oculus:1.0.0} in directory: e:\exts\Oculus\stage\Exts
[FABRIC:MT] Ignored extension {LeapMotion:1.0.0} in directory: stage\Exts
[FABRIC:MT] IRCache: Not pruning since last prune was less than 24 hours ago
[FABRIC:MT] Loaded extension Math in 138.521ms (cached)
[FABRIC:MT] Loaded extension LeapMotion in 91.446ms (cached)
Registered function 'LeapConfig.getBool', 'getBool'.
Registered function 'LeapConfig.getFloat', 'getFloat'.
Registered function 'LeapConfig.getInt32', 'getInt32'.
Registered function 'LeapConfig.getString', 'getString'.
Registered function 'LeapConfig.save', 'save'.
Registered function 'LeapConfig.setBool', 'setBool'.
Registered function 'LeapConfig.setFloat', 'setFloat'.
Registered function 'LeapConfig.setInt32', 'setInt32'.
Registered function 'LeapConfig.setString', 'setString'.
Registered function 'LeapConfig.valid', 'valid'.
Registered function 'LeapConfig.valueType', 'valueType'.
Registered function 'LeapInteractionBox.center', 'center'.
Registered function 'LeapInteractionBox.denormalizePoint', 'denormalizePoint'.
Registered function 'LeapInteractionBox.depth', 'depth'.
Registered function 'LeapInteractionBox.height', 'height'.
Registered function 'LeapInteractionBox.normalizePoint', 'normalizePoint'.
Registered function 'LeapInteractionBox.valid', 'valid'.
Registered function 'LeapInteractionBox.width', 'width'.
Registered function 'LeapPointable.direction', 'direction'.
Registered function 'LeapPointable.id', 'id'.
Registered function 'LeapPointable.isExtended', 'isExtended'.
Registered function 'LeapPointable.isFinger', 'isFinger'.
Registered function 'LeapPointable.isTool', 'isTool'.
Registered function 'LeapPointable.length', 'length'.
Registered function 'LeapPointable.stabilizedTipPosition', 'stabilizedTipPosition'.
Registered function 'LeapPointable.timeVisible', 'timeVisible'.
Registered function 'LeapPointable.tipPosition', 'tipPosition'.
Registered function 'LeapPointable.tipVelocity', 'tipVelocity'.
Registered function 'LeapPointable.touchDistance', 'touchDistance'.
Registered function 'LeapPointable.touchZone', 'touchZone'.
Registered function 'LeapPointable.valid', 'valid'.
Registered function 'LeapPointable.width', 'width'.
Registered function 'LeapBone.basis', 'basis'.
Registered function 'LeapBone.boneType', 'boneType'.
Registered function 'LeapBone.center', 'center'.
Registered function 'LeapBone.direction', 'direction'.
Registered function 'LeapBone.length', 'length'.
Registered function 'LeapBone.nextJoint', 'nextJoint'.
Registered function 'LeapBone.prevJoint', 'prevJoint'.
Registered function 'LeapBone.valid', 'valid'.
Registered function 'LeapBone.width', 'width'.
Registered function 'LeapFinger.bone', 'bone'.
Registered function 'LeapFinger.fingerType', 'fingerType'.
Registered function 'LeapFinger.valid', 'valid'.
Registered function 'LeapTool.valid', 'valid'.
Registered function 'LeapArm.basis', 'basis'.
Registered function 'LeapArm.center', 'center'.
Registered function 'LeapArm.direction', 'direction'.
Registered function 'LeapArm.elbowPosition', 'elbowPosition'.
Registered function 'LeapArm.valid', 'valid'.
Registered function 'LeapArm.width', 'width'.
Registered function 'LeapArm.wristPosition', 'wristPosition'.
Registered function 'LeapHand.arm', 'arm'.
Registered function 'LeapHand.basis', 'basis'.
Registered function 'LeapHand.confidence', 'confidence'.
Registered function 'LeapHand.direction', 'direction'.
Registered function 'LeapHand.finger', 'finger'.
Registered function 'LeapHand.fingerAllXfos', 'fingerAllXfos'.
